..........................] - ETA: 6:01 - loss: 2.4862
10368/58608 [====>.........................] - ETA: 5:27 - loss: 2.4976
10384/58608 [====>.........................] - ETA: 5:26 - loss: 2.4984
10400/58608 [====>.........................] - ETA: 5:26 - loss: 2.4985
10416/58608 [====>.........................] - ETA: 5:26 - loss: 2.4981
10432/58608 [====>.........................] - ETA: 5:26 - loss: 2.4983
10448/58608 [====>.........................] - ETA: 5:26 - loss: 2.4972
10464/58608 [====>.........................] - ETA: 5:26 - loss: 2.4964
10480/58608 [====>.........................] - ETA: 5:26 - loss: 2.4957
10496/58608 [====>.........................] - ETA: 5:26 - loss: 2.4956
10512/58608 [====>.........................] - ETA: 5:26 - loss: 2.4955
10528/58608 [====>.........................] - ETA: 5:26 - loss: 2.4948
10544/58608 [====>.........................] - ETA: 5:25 - loss: 2.4951
10560/58608 [====>.........................] - ETA: 5:25 - loss: 2.4954
10576/58608 [====>.........................] - ETA: 5:25 - loss: 2.4956
10592/58608 [====>.........................] - ETA: 5:25 - loss: 2.4959
10608/58608 [====>.........................] - ETA: 5:25 - loss: 2.4959
10624/58608 [====>.........................] - ETA: 5:25 - loss: 2.4959
10640/58608 [====>.........................] - ETA: 5:25 - loss: 2.4965
10656/58608 [====>.........................] - ETA: 5:25 - loss: 2.4961
10672/58608 [====>.........................] - ETA: 5:25 - loss: 2.4966
10688/58608 [====>.........................] - ETA: 5:24 - loss: 2.4973
10704/58608 [====>.........................] - ETA: 5:24 - loss: 2.4964
10720/58608 [====>.........................] - ETA: 5:24 - loss: 2.4958
10736/58608 [====>.........................] - ETA: 5:24 - loss: 2.4960
10752/58608 [====>.........................] - ETA: 5:24 - loss: 2.4963
10768/58608 [====>.........................] - ETA: 5:24 - loss: 2.4962
10784/58608 [====>.........................] - ETA: 5:24 - loss: 2.4959
10800/58608 [====>.........................] - ETA: 5:24 - loss: 2.4953
10816/58608 [====>.........................] - ETA: 5:23 - loss: 2.4955
10832/58608 [====>.........................] - ETA: 5:23 - loss: 2.4960
10848/58608 [====>.........................] - ETA: 5:23 - loss: 2.4961
10864/58608 [====>.........................] - ETA: 5:23 - loss: 2.4964
10880/58608 [====>.........................] - ETA: 5:23 - loss: 2.4953
10896/58608 [====>.........................] - ETA: 5:23 - loss: 2.4949
10912/58608 [====>.........................] - ETA: 5:23 - loss: 2.4942
10928/58608 [====>.........................] - ETA: 5:23 - loss: 2.4945
10944/58608 [====>.........................] - ETA: 5:23 - loss: 2.4941
10960/58608 [====>.........................] - ETA: 5:23 - loss: 2.4943
10976/58608 [====>.........................] - ETA: 5:22 - loss: 2.4947
10992/58608 [====>.........................] - ETA: 5:22 - loss: 2.4954
11008/58608 [====>.........................] - ETA: 5:22 - loss: 2.4953
11024/58608 [====>.........................] - ETA: 5:22 - loss: 2.4955
11040/58608 [====>.........................] - ETA: 5:22 - loss: 2.4954
11056/58608 [====>.........................] - ETA: 5:22 - loss: 2.4953
11072/58608 [====>.........................] - ETA: 5:22 - loss: 2.4948
11088/58608 [====>.........................] - ETA: 5:22 - loss: 2.4941
11104/58608 [====>.........................] - ETA: 5:21 - loss: 2.4942
11120/58608 [====>.........................] - ETA: 5:21 - loss: 2.4952
11136/58608 [====>.........................] - ETA: 5:21 - loss: 2.4942
11152/58608 [====>.........................] - ETA: 5:21 - loss: 2.4945
11168/58608 [====>.........................] - ETA: 5:21 - loss: 2.4952
11184/58608 [====>.........................] - ETA: 5:21 - loss: 2.4951
11200/58608 [====>.........................] - ETA: 5:21 - loss: 2.4946
11216/58608 [====>.........................] - ETA: 5:21 - loss: 2.4942
11232/58608 [====>.........................] - ETA: 5:21 - loss: 2.4963
11248/58608 [====>.........................] - ETA: 5:21 - loss: 2.4963
11264/58608 [====>.........................] - ETA: 5:20 - loss: 2.4963
11280/58608 [====>.........................] - ETA: 5:20 - loss: 2.4958
11296/58608 [====>.........................] - ETA: 5:20 - loss: 2.4957
11312/58608 [====>.........................] - ETA: 5:20 - loss: 2.4949
11328/58608 [====>.........................] - ETA: 5:20 - loss: 2.4948
11344/58608 [====>.........................] - ETA: 5:20 - loss: 2.4950
11360/58608 [====>.........................] - ETA: 5:20 - loss: 2.4947
11376/58608 [====>.........................] - ETA: 5:20 - loss: 2.4938
11392/58608 [====>.........................] - ETA: 5:20 - loss: 2.4942
11408/58608 [====>.........................] - ETA: 5:19 - loss: 2.4950
11424/58608 [====>.........................] - ETA: 5:19 - loss: 2.4956
11440/58608 [====>.........................] - ETA: 5:19 - loss: 2.4959
11456/58608 [====>.........................] - ETA: 5:19 - loss: 2.4948
11472/58608 [====>.........................] - ETA: 5:19 - loss: 2.4951
11488/58608 [====>.........................] - ETA: 5:19 - loss: 2.4964
11504/58608 [====>.........................] - ETA: 5:19 - loss: 2.4967
11520/58608 [====>.........................] - ETA: 5:19 - loss: 2.4963
11536/58608 [====>.........................] - ETA: 5:19 - loss: 2.4958
11552/58608 [====>.........................] - ETA: 5:18 - loss: 2.4951
11568/58608 [====>.........................] - ETA: 5:18 - loss: 2.4951
11584/58608 [====>.........................] - ETA: 5:18 - loss: 2.4944
11600/58608 [====>.........................] - ETA: 5:18 - loss: 2.4943
11616/58608 [====>.........................] - ETA: 5:18 - loss: 2.4941
11632/58608 [====>.........................] - ETA: 5:18 - loss: 2.4939
11648/58608 [====>.........................] - ETA: 5:18 - loss: 2.4934
11664/58608 [====>.........................] - ETA: 5:18 - loss: 2.4931
11680/58608 [====>.........................] - ETA: 5:18 - loss: 2.4929
11696/58608 [====>.........................] - ETA: 5:17 - loss: 2.4929
11712/58608 [====>.........................] - ETA: 5:17 - loss: 2.4925
11728/58608 [=====>........................] - ETA: 5:17 - loss: 2.4923
11744/58608 [=====>........................] - ETA: 5:17 - loss: 2.4928
11760/58608 [=====>........................] - ETA: 5:17 - loss: 2.4925
11776/58608 [=====>........................] - ETA: 5:17 - loss: 2.4926
